PLOT,SIZE,DENSITY,SEEDYR,SAMPYR,AGE,SHOOTS
HI  2,1,50,2006,2007,1,6
HI  5,0.5,100,2006,2007,1,11.6
HI  7,0.5,50,2006,2007,1,6
HI  9,0.5,100,2006,2007,1,9.6
HI  10,1,100,2006,2007,1,30
HI  23,1,50,2006,2007,1,40.4
HI  27,0.5,100,2006,2007,1,20.4
HI  29,1,100,2006,2007,1,8.8
HI  32,0.5,100,2006,2007,1,57.6
HI  36,1,50,2006,2007,1,15.6
HI  37,0.5,50,2006,2007,1,41.6
HI  39,1,50,2006,2007,1,10.4
HI  41,0.5,50,2006,2007,1,15.2
HI  43,0.5,100,2006,2007,1,36.4
HI  47,0.5,50,2006,2007,1,45.6
HI  53,0.5,50,2006,2007,1,3.2
HI  56,0.5,50,2006,2007,1,4.4
HI  64,1,50,2006,2007,1,30.8
HI  66,1,100,2006,2007,1,18.4
HI  72,1,100,2006,2007,1,23.6
HI  74,0.5,100,2006,2007,1,28
HI  77,1,100,2006,2007,1,38
HI  79,1,50,2006,2007,1,0
HI  81,1,100,2006,2007,1,33.2
HI  87,0.5,50,2006,2007,1,20.8
HI  97,0.5,100,2006,2007,1,49.6
HI  100,1,100,2006,2007,1,121.2
HI  104,1,50,2006,2007,1,63.6
HI  1,1,100,2007,2008,1,39.6
HI  2,1,50,2006,2008,2,54.8
HI  3,0.5,100,2007,2008,1,11.2
HI  4,1,100,2007,2008,1,8.8
HI  5,0.5,100,2006,2008,2,24
HI  7,0.5,50,2006,2008,2,0
HI  9,0.5,100,2006,2008,2,5.6
HI  10,1,100,2006,2008,2,38.4
HI  11,0.5,50,2007,2008,1,52
HI  13,0.5,50,2007,2008,1,12.4
HI  14,1,50,2007,2008,1,2.8
HI  15,1,50,2007,2008,1,7.6
HI  18,0.5,50,2007,2008,1,2
HI  20,1,50,2007,2008,1,12.8
HI  21,0.5,100,2007,2008,1,7.6
HI  23,1,50,2006,2008,2,19.6
HI  25,0.5,100,2007,2008,1,16
HI  27,0.5,100,2006,2008,2,9.6
HI  29,1,100,2006,2008,2,24.8
HI  32,0.5,100,2006,2008,2,83.2
HI  36,1,50,2006,2008,2,35.2
HI  37,0.5,50,2006,2008,2,16.4
HI  38,0.5,50,2007,2008,1,1.2
HI  39,1,50,2006,2008,2,6.8
HI  40,0.5,100,2007,2008,1,6
HI  41,0.5,50,2006,2008,2,6.4
HI  43,0.5,100,2006,2008,2,70
HI  47,0.5,50,2006,2008,2,66
HI  50,1,50,2007,2008,1,29.2
HI  53,0.5,50,2006,2008,2,10
HI  55,1,100,2007,2008,1,23.2
HI  56,0.5,50,2006,2008,2,18.8
HI  63,0.5,100,2007,2008,1,13.6
HI  64,1,50,2006,2008,2,15.2
